Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio,rank
"""ตื่นได้แล้ว""","""Wake up!""",FALSE,Thai::~phrases,1442747087753,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_318 -Wake up!-.mp3],,,,,,318,,,[sound:SLAT1_318 -ตื่นได้แล้ว”.mp3],,
"""ถูกแฟนทิ้ง""","""She has been dumped (by her boyfriend)""",FALSE,Thai::~phrases,1442747087754,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_319 -She has been dumped (by her boyfriend)-.mp3],,,,,,319,,,[sound:SLAT1_319 -ถูกแฟนทิ้ง”.mp3],,
"""ทำตามสัญญา""","""To do as promised""",FALSE,Thai::~phrases,1442747087755,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_320 -To do as promised-.mp3],,,,,,320,,,[sound:SLAT1_320 -ทำตามสัญญา”.mp3],,
"""เราเป็นเนื้อคู่กัน""","""We are soulmates""",FALSE,Thai::~phrases,1442747087756,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_321 -We are soulmates-.mp3],,,,,,321,,,[sound:SLAT1_321 -เราเป็นเนื้อคู่กัน”.mp3],,
"""ขอปิดเป็นความลับ""","""I want to keep it a secret""",FALSE,Thai::~phrases,1442747087757,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_322 -I want to keep it a secret-.mp3],,,,,,322,,,[sound:SLAT1_322 -ขอปิดเป็นความลับ”.mp3],,
"""กล้าพูด""","""Dare to speak""",FALSE,Thai::~phrases,1442747087758,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_323-1 -Dare to speak-.mp3],,,,,,323.1,,,[sound:SLAT1_323-1 -กล้าพูด”.mp3],,
"""กล้าทำ""","""Dare to do""",FALSE,Thai::~phrases,1442747087759,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_323-2 -Dare to do-.mp3],,,,,,323.2,,,[sound:SLAT1_323-2 -กล้าทำ-.mp3],,
"""มันจะดีเหรอ""","""Do you think it will be good?""",FALSE,Thai::~phrases,1442747087760,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_324 -Do you think it will be good--.mp3],,,,,,324,,,[sound:SLAT1_324 -มันจะดีเหรอ”.mp3],,
"""เก็บแรงไว้""","""I want to build up my strength""",FALSE,Thai::~phrases,1442747087761,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_325 -I want to build up my strength-.mp3],,,,,,325,,,[sound:SLAT1_325 -เก็บแรงไว้”.mp3],,
"""ดูแต่ตา""","""Just look""",FALSE,Thai::~phrases,1442747087762,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_326-1 -Just look-.mp3],,,,,,326.1,,,[sound:SLAT1_326-1 -ดูแต่ตา”.mp3],,
"""มืออย่าต้อง""","""Don't touch""",FALSE,Thai::~phrases,1442747087763,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_326-2 -Don't touch-.mp3],,,,,,326.2,,,[sound:SLAT1_326-2 -มืออย่าต้อง-.mp3],,
"""อย่าหลงเชื่อ""","""Don't fall for it and believe them""",FALSE,Thai::~phrases,1442747087764,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_327 -Don't fall for it and believe them-.mp3],,,,,,327,,,[sound:SLAT1_327 -อย่าหลงเชื่อ”.mp3],,
"""ไม่รู้จะทำยังไง""","""I don't know what to do""",FALSE,Thai::~phrases,1442747087765,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_328 -I don't know what to do-.mp3],,,,,,328,,,[sound:SLAT1_328 -ไม่รู้จะทำยังไง”.mp3],,
"""หัวอกเดียวกัน""","""To be in the same boat""",FALSE,Thai::~phrases,1442747087766,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_329 -To be in the same boat-.mp3],,,,,"Literally: ""To have the same heart""",329,,,[sound:SLAT1_329 -หัวอกเดียวกัน”.mp3],,
"""ว่างๆ จะมาหา""","""I will come to see you when I get a chance""",FALSE,Thai::~phrases,1442747087767,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_330 -I will come to see you when I get a chance-.mp3],,,,,,330,,,[sound:SLAT1_330 -ว่างๆ จะมาหา”.mp3],,
"""พูดอย่าง ทำอย่าง""","""Say one thing, but do another""",FALSE,Thai::~phrases,1442747087768,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,"[sound:SLAT1_331 -Say one thing, but do another-.mp3]",,,,,,331,,,[sound:SLAT1_331 -พูดอย่าง ทำอย่าง”.mp3],,
"""เขามาตั้งแต่หัวค่ำ""","""He's been here since early evening""",FALSE,Thai::~phrases,1442747087769,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_332 -He's been here since early evening-.mp3],,,,,,332,,,[sound:SLAT1_332 -เขามาตั้งแต่หัวค่ำ”.mp3],,
"""ตายเป็นตาย""","""I don't care if I have to die for it""",FALSE,Thai::~phrases,1442747087770,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_333 -I don't care if I have to die for it-.mp3],,,,,"Literally: ""Death is death""",333,,,[sound:SLAT1_333 -ตายเป็นตาย”.mp3],,
"""จะพาไปส่งบ้าน""","""I will take you home""",FALSE,Thai::~phrases,1442747087771,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_334 -I will take you home-.mp3],,,,,,334,,,[sound:SLAT1_334 -จะพาไปส่งบ้าน”.mp3],,
"""ปฏิเสธไม่ได้""","""I can't refuse""",FALSE,Thai::~phrases,1442747087772,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_335 -I can't refuse-.mp3],,,,,,335,,,[sound:SLAT1_335 -ปฎิเสธไม่ได้”.mp3],,
"""เขาไม่โทรหาตั้งนาน""","""He hasn't called in a long time""",FALSE,Thai::~phrases,1442747087773,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_336 -He hasn't called in a long time-.mp3],,,,,,336,,,[sound:SLAT1_336 -เขาไม่โทรหาตั้งนาน”.mp3],,
